Site_ID,file_path,Rank
Turmalina_2024_4,/Volumes/RDS/project/silwood_acoustics/live/MombakRestoration/RawData/Mombak_2024/Mombak_Turmalina_2024/BirdData_Turmalina_2024/Bird_004/20240322_170500.WAV,0
Turmalina_2024_4,/Volumes/RDS/project/silwood_acoustics/live/MombakRestoration/RawData/Mombak_2024/Mombak_Turmalina_2024/BirdData_Turmalina_2024/Bird_004/20240322_171500.WAV,3
Turmalina_2024_4,/Volumes/RDS/project/silwood_acoustics/live/MombakRestoration/RawData/Mombak_2024/Mombak_Turmalina_2024/BirdData_Turmalina_2024/Bird_004/20240322_173000.WAV,2
Turmalina_2024_4,/Volumes/RDS/project/silwood_acoustics/live/MombakRestoration/RawData/Mombak_2024/Mombak_Turmalina_2024/BirdData_Turmalina_2024/Bird_004/20240322_174000.WAV,2
Turmalina_2024_4,/Volumes/RDS/project/silwood_acoustics/live/MombakRestoration/RawData/Mombak_2024/Mombak_Turmalina_2024/BirdData_Turmalina_2024/Bird_004/20240322_174500.WAV,2
Turmalina_2024_4,/Volumes/RDS/project/silwood_acoustics/live/MombakRestoration/RawData/Mombak_2024/Mombak_Turmalina_2024/BirdData_Turmalina_2024/Bird_004/20240322_175000.WAV,2
Turmalina_2024_4,/Volumes/RDS/project/silwood_acoustics/live/MombakRestoration/RawData/Mombak_2024/Mombak_Turmalina_2024/BirdData_Turmalina_2024/Bird_004/20240322_175500.WAV,2
Turmalina_2024_4,/Volumes/RDS/project/silwood_acoustics/live/MombakRestoration/RawData/Mombak_2024/Mombak_Turmalina_2024/BirdData_Turmalina_2024/Bird_004/20240322_180000.WAV,2
Turmalina_2024_4,/Volumes/RDS/project/silwood_acoustics/live/MombakRestoration/RawData/Mombak_2024/Mombak_Turmalina_2024/BirdData_Turmalina_2024/Bird_004/20240322_180500.WAV,3
Turmalina_2024_4,/Volumes/RDS/project/silwood_acoustics/live/MombakRestoration/RawData/Mombak_2024/Mombak_Turmalina_2024/BirdData_Turmalina_2024/Bird_004/20240322_181000.WAV,3
